num_envs,policy_lr,value_lr,gamma,gae_lambda,final_reward
4,0.001,0.001,0.95,0.9,-302.50540916123055
8,0.001,0.0001,0.99,0.95,-310.060639398402
4,0.001,0.001,0.95,0.95,-313.2386727072474
4,0.001,0.003,0.99,0.9,-313.88102186976505
4,0.001,0.0001,0.95,0.9,-314.818327200507
4,0.001,0.0001,0.99,0.9,-315.58901085616714
8,0.001,0.003,0.95,0.9,-315.84005211688543
8,0.001,0.003,0.999,0.95,-315.84658434235297
8,0.001,0.001,0.95,0.9,-316.17698937488456
8,0.001,0.001,0.95,0.99,-316.25865918756483
4,0.001,0.003,0.999,0.9,-317.38086836367995
4,0.001,0.0001,0.95,0.95,-317.7376497677868
4,0.001,0.001,0.95,0.99,-318.5922899190128
4,0.001,0.001,0.99,0.9,-318.92939358469965
4,0.001,0.003,0.95,0.99,-320.17411195904236
8,0.001,0.001,0.95,0.95,-320.32091028833116
8,0.001,0.001,0.999,0.9,-321.1783169539036
4,0.001,0.0001,0.999,0.9,-322.48848750780525
4,0.001,0.001,0.999,0.9,-322.96951273973696
4,0.001,0.0001,0.95,0.99,-323.20812700718125
8,0.001,0.0001,0.999,0.9,-324.0434103169986
4,0.001,0.0001,0.999,0.95,-324.16833417833
8,0.001,0.003,0.95,0.95,-325.1752506209222
8,0.001,0.001,0.999,0.95,-325.49631488767574
4,0.001,0.003,0.95,0.9,-326.2398953339388
4,0.001,0.003,0.95,0.95,-326.4829121846801
4,0.001,0.0001,0.99,0.99,-326.92000216477504
8,0.001,0.001,0.99,0.95,-327.1488032113867
8,0.001,0.0001,0.99,0.9,-328.2315951922743
8,0.001,0.0001,0.99,0.99,-328.27456127944106
4,0.001,0.001,0.999,0.95,-328.559853352051
4,0.001,0.001,0.99,0.95,-328.70102217169443
4,0.001,0.003,0.99,0.95,-329.0453861997332
16,0.001,0.0001,0.999,0.9,-329.14938022636596
8,0.001,0.003,0.99,0.99,-329.19320053462036
8,0.001,0.0001,0.999,0.99,-329.7037015524336
4,0.001,0.0001,0.99,0.95,-329.7322001298846
8,0.001,0.003,0.95,0.99,-329.9239198313612
8,0.001,0.003,0.99,0.95,-330.108227396395
16,0.001,0.0001,0.99,0.95,-331.344967737446
8,0.001,0.003,0.99,0.9,-331.62214852225657
16,0.001,0.001,0.95,0.99,-332.04325765198905
8,0.001,0.001,0.99,0.9,-332.53074564065486
8,0.0003,0.003,0.999,0.95,-332.96751543599026
8,0.001,0.003,0.999,0.9,-333.0764914778488
4,0.001,0.003,0.99,0.99,-333.1812685225614
16,0.001,0.003,0.99,0.95,-333.1952843923169
8,0.001,0.0001,0.95,0.99,-333.2943383982437
16,0.001,0.001,0.99,0.95,-333.91496939994164
8,0.0003,0.003,0.95,0.99,-334.6744272522772
8,0.0003,0.0001,0.999,0.95,-334.67648404816407
8,0.001,0.0001,0.999,0.95,-335.9170448127733
8,0.0003,0.003,0.999,0.9,-336.02827220373945
4,0.001,0.003,0.999,0.95,-336.1000022093568
8,0.0001,0.001,0.999,0.95,-336.2846722035535
16,0.001,0.0001,0.99,0.9,-336.3394414309127
4,0.0003,0.0001,0.95,0.99,-336.5610627619179
4,0.001,0.0001,0.999,0.99,-336.8940626768164
8,0.0001,0.003,0.95,0.9,-337.5260489711572
16,0.001,0.003,0.95,0.99,-337.65706189773084
8,0.0003,0.003,0.99,0.99,-337.75300297116985
4,0.0003,0.003,0.99,0.99,-337.8657460844264
4,0.0003,0.001,0.999,0.9,-337.94960960477465
8,0.0003,0.001,0.95,0.99,-338.0644983359036
4,0.0003,0.0001,0.99,0.9,-338.2024660395866
16,0.001,0.001,0.95,0.95,-338.421484387208
8,0.0003,0.001,0.999,0.99,-338.76593820710355
4,0.0003,0.001,0.99,0.9,-338.78992472920515
8,0.001,0.003,0.999,0.99,-338.8664658835916
16,0.001,0.003,0.999,0.9,-339.34553041676423
8,0.0003,0.0001,0.999,0.99,-339.90957807701903
4,0.0003,0.003,0.99,0.9,-339.9925796580835
16,0.001,0.001,0.99,0.9,-340.03899220286553
4,0.0003,0.0001,0.999,0.9,-340.2905003805707
4,0.0003,0.0001,0.99,0.95,-340.3126240491413
16,0.001,0.001,0.999,0.9,-340.5320641534095
