num_envs,policy_lr,value_lr,gamma,gae_lambda,final_reward
4,0.001,0.0001,0.999,0.99,172.76240389460122
4,0.001,0.0001,0.99,0.99,166.70834657382966
4,0.001,0.003,0.99,0.99,164.79327617561736
4,0.001,0.001,0.999,0.99,164.13964728424716
4,0.001,0.003,0.999,0.95,163.0652849303378
4,0.001,0.003,0.999,0.9,160.36867925861122
4,0.001,0.001,0.99,0.99,159.5787303462937
4,0.001,0.0001,0.999,0.95,159.09602292436514
4,0.001,0.003,0.999,0.99,158.89733596993315
4,0.001,0.003,0.99,0.9,158.4914995848135
4,0.001,0.001,0.999,0.95,158.47553548217883
4,0.001,0.003,0.95,0.99,158.37724169555761
4,0.001,0.003,0.99,0.95,156.1539701456516
4,0.001,0.001,0.999,0.9,155.83511647885476
4,0.001,0.001,0.99,0.95,155.5945676948384
4,0.001,0.0001,0.99,0.95,155.1249784527304
4,0.001,0.001,0.95,0.99,153.39189147702476
4,0.001,0.0001,0.99,0.9,151.740663019089
4,0.001,0.001,0.95,0.95,150.8283922768575
4,0.001,0.0001,0.999,0.9,149.81038790150495
4,0.001,0.003,0.95,0.95,149.38607149645173
4,0.001,0.003,0.95,0.9,148.51262598603265
4,0.001,0.0001,0.95,0.99,142.87785556812818
4,0.001,0.0001,0.95,0.95,142.63014892719363
4,0.001,0.001,0.95,0.9,139.89254042444162
4,0.001,0.001,0.99,0.9,139.8865628755179
4,0.001,0.0001,0.95,0.9,134.26371755330902
8,0.001,0.003,0.99,0.95,109.86459115136873
8,0.001,0.003,0.99,0.9,109.16832312303373
8,0.001,0.001,0.999,0.95,109.07883793351547
8,0.001,0.003,0.95,0.9,105.86245521341326
8,0.001,0.001,0.99,0.9,105.6160339259129
8,0.001,0.001,0.99,0.99,105.54484590375003
8,0.001,0.0001,0.95,0.99,105.39440632131864
8,0.001,0.003,0.999,0.99,105.07300528193652
8,0.001,0.001,0.95,0.9,104.42809814647417
8,0.001,0.0001,0.999,0.99,103.81787288270363
8,0.001,0.001,0.99,0.95,103.79775067192837
8,0.001,0.0001,0.95,0.95,103.78625301925773
8,0.001,0.0001,0.99,0.99,103.31709727266951
8,0.001,0.003,0.999,0.95,103.22863914745622
8,0.001,0.0001,0.999,0.95,103.1553499133305
8,0.001,0.001,0.95,0.99,103.0886101005955
8,0.001,0.003,0.99,0.99,102.9904022840813
8,0.001,0.0001,0.95,0.9,102.72052748344129
8,0.001,0.003,0.95,0.95,102.3755037919011
8,0.001,0.001,0.999,0.9,102.21417775669839
8,0.001,0.0001,0.99,0.9,102.09684832215336
8,0.001,0.001,0.999,0.99,101.83886565774327
8,0.001,0.001,0.95,0.95,101.64367583505886
8,0.001,0.003,0.95,0.99,100.27649318508502
8,0.001,0.003,0.999,0.9,100.258411462001
8,0.001,0.0001,0.999,0.9,100.10486340931419
8,0.001,0.0001,0.99,0.95,99.83889668183363
4,0.0003,0.003,0.95,0.95,65.88710777285691
4,0.0003,0.003,0.99,0.9,64.88412231794715
4,0.0003,0.001,0.95,0.95,63.94151792760362
4,0.0003,0.0001,0.99,0.95,63.41676150540733
4,0.0003,0.003,0.95,0.99,63.25388449560673
4,0.0003,0.0001,0.95,0.9,63.25350810896471
4,0.0003,0.003,0.95,0.9,62.969660105808344
4,0.0003,0.001,0.99,0.9,62.310813304776076
4,0.0003,0.003,0.999,0.99,62.07615951119849
4,0.0003,0.001,0.95,0.99,62.03142664796742
4,0.0003,0.0001,0.99,0.99,61.94549398031901
4,0.0003,0.001,0.99,0.95,61.40338865448428
4,0.0003,0.001,0.95,0.9,61.322340445761
4,0.0003,0.0001,0.999,0.99,61.20182376191997
4,0.0003,0.003,0.99,0.99,60.910304534236786
4,0.0003,0.001,0.999,0.9,60.54604573076945
4,0.0003,0.001,0.999,0.99,60.429543690009375
4,0.0003,0.0001,0.95,0.95,60.14680207627751
