num_envs,policy_lr,value_lr,gamma,gae_lambda,final_reward
4,0.001,0.003,0.95,0.9,146.65743411675803
4,0.001,0.0001,0.99,0.99,140.59182061737218
4,0.001,0.001,0.95,0.95,138.70559212086394
4,0.001,0.0001,0.99,0.95,136.70082758022963
4,0.001,0.001,0.99,0.95,131.7110327446917
4,0.001,0.001,0.999,0.99,131.64497140772426
4,0.001,0.003,0.99,0.99,130.96772836729582
4,0.001,0.0001,0.999,0.95,130.90372511780035
4,0.001,0.001,0.999,0.95,129.27008845658887
4,0.001,0.0001,0.95,0.95,128.40496025225355
4,0.001,0.003,0.999,0.95,128.28903002002733
4,0.001,0.003,0.99,0.9,128.04436270017794
4,0.001,0.0001,0.999,0.99,127.5442154021078
4,0.001,0.003,0.999,0.9,127.49142730641583
4,0.001,0.001,0.99,0.9,126.32586454657071
4,0.001,0.003,0.99,0.95,126.26706189034161
4,0.001,0.001,0.999,0.9,125.65251620337986
4,0.001,0.0001,0.999,0.9,123.14562820648332
4,0.001,0.001,0.95,0.9,122.97469982447126
4,0.001,0.003,0.999,0.99,120.26565625280662
4,0.001,0.001,0.95,0.99,119.90107628928763
4,0.001,0.003,0.95,0.95,113.17202448577336
4,0.001,0.0001,0.95,0.9,111.49227466974949
4,0.001,0.003,0.95,0.99,107.4260248811019
4,0.001,0.001,0.99,0.99,103.201644076346
4,0.001,0.0001,0.99,0.9,101.22937196079272
4,0.001,0.0001,0.95,0.99,96.88089093123357
8,0.001,0.0001,0.95,0.9,37.021842639359846
8,0.001,0.0001,0.999,0.9,35.50248062648821
8,0.001,0.001,0.999,0.95,35.33744960868861
8,0.001,0.001,0.95,0.95,35.32898358648142
8,0.001,0.0001,0.99,0.9,35.28686601634019
8,0.001,0.001,0.95,0.99,34.59933289270885
8,0.001,0.0001,0.99,0.95,34.133769073952536
8,0.001,0.003,0.95,0.95,33.37760057947311
8,0.001,0.003,0.999,0.9,33.21732895619812
8,0.001,0.003,0.99,0.95,32.92765511498741
8,0.001,0.0001,0.999,0.95,32.91832773606158
8,0.001,0.003,0.95,0.99,32.90275537616124
8,0.001,0.001,0.99,0.95,32.54911832060561
8,0.001,0.0001,0.95,0.95,32.06172273669787
8,0.001,0.001,0.95,0.9,31.563975504967235
8,0.001,0.001,0.99,0.9,31.356196874015993
8,0.001,0.003,0.99,0.9,31.19284771594614
8,0.001,0.003,0.999,0.95,31.030847922823764
8,0.001,0.001,0.999,0.9,30.96612980012195
8,0.001,0.0001,0.95,0.99,30.789270944035014
8,0.001,0.001,0.99,0.99,29.707480292108848
8,0.001,0.001,0.999,0.99,29.180431118460486
8,0.001,0.003,0.999,0.99,28.90671593915326
8,0.001,0.003,0.99,0.99,28.49563681323114
8,0.001,0.0001,0.99,0.99,27.977864788488773
8,0.001,0.003,0.95,0.9,27.783130925500117
8,0.001,0.0001,0.999,0.99,27.21542412694522
4,0.0003,0.001,0.95,0.99,14.108458025803424
4,0.0003,0.001,0.99,0.95,13.231102011240736
4,0.0003,0.003,0.95,0.9,13.046302707168136
4,0.0003,0.003,0.999,0.95,12.977090206842625
4,0.0003,0.003,0.99,0.99,12.798572292023525
4,0.0003,0.001,0.95,0.9,12.709505869468966
4,0.0003,0.0001,0.999,0.9,12.641229230777673
4,0.0003,0.0001,0.99,0.9,12.599050606256915
4,0.0003,0.001,0.999,0.95,12.510135627790051
4,0.0003,0.0001,0.95,0.99,12.347871555341932
4,0.0003,0.0001,0.999,0.95,12.099850303288504
4,0.0003,0.0001,0.99,0.95,11.73272106289221
4,0.0003,0.003,0.999,0.9,11.728734618404776
4,0.0003,0.001,0.999,0.99,11.704414429044414
4,0.0003,0.001,0.95,0.95,11.60651579325669
4,0.0003,0.0001,0.99,0.99,11.562716880968503
4,0.0003,0.0001,0.95,0.95,11.385821160870798
4,0.0003,0.003,0.99,0.9,11.376534346873
4,0.0003,0.001,0.99,0.99,11.294103286137256
4,0.0003,0.001,0.999,0.9,11.267159951015557
4,0.0003,0.003,0.95,0.99,11.152740296716951
